app_package,queried_package
com.vlv.aravali.reels,com.tatadigital.tcp.dev
com.vlv.aravali.reels,com.tatadigital.tcp
com.vlv.aravali.reels,com.facebook.katana
com.vlv.aravali.reels,com.truecaller
com.vlv.aravali.reels,com.truecaller.debug
com.vlv.aravali.reels,com.instagram.android
com.vlv.aravali.reels,com.facebook.lite
com.vlv.aravali.reels,com.samsung.android.mapsagent
com.olacabs.customer,com.facebook.katana
com.olacabs.customer,com.instagram.android
com.olacabs.customer,com.google.android.apps.maps
com.olacabs.customer,com.tatadigital.tcp.dev
com.olacabs.customer,com.tatadigital.tcp
com.olacabs.customer,in.amazon.mShop.android.shopping
com.olacabs.customer,com.android.chrome
in.indwealth,in.org.npci.upiapp
in.indwealth,com.phonepe.app
in.indwealth,com.google.android.apps.nbu.paisa.user
in.indwealth,net.one97.paytm
in.indwealth,com.whatsapp.w4b
in.indwealth,com.csam.icici.bank.imobile
in.indwealth,com.sbi.upi
in.indwealth,com.upi.axispay
in.indwealth,com.SIBMobile
in.indwealth,in.amazon.mShop.android.shopping
in.indwealth,com.samsung.android.spaymini
in.indwealth,com.samsung.android.spay
in.indwealth,com.snapwork.hdfc
in.indwealth,com.fss.pnbpsp
in.indwealth,com.fss.unbipsp
in.indwealth,com.fss.jnkpsp
in.indwealth,com.fss.idfcpsp
in.indwealth,com.mgs.induspsp
in.indwealth,com.YesBank
in.indwealth,com.olive.dcb.upi
in.indwealth,com.mgs.yesmerchantnative.prod
in.indwealth,com.upi.federalbank.org.lotza
in.indwealth,com.dbs.in.digitalbank
in.indwealth,com.mycompany.kvb
in.indwealth,com.icicibank.pockets
in.indwealth,com.bankofbaroda.upi
in.indwealth,com.mobikwik_new
in.indwealth,com.freecharge.android
in.indwealth,com.axis.mobile
in.indwealth,com.olive.kotak.upi
in.indwealth,com.bsb.hike
in.indwealth,com.enstage.wibmo.hdfc
in.indwealth,com.mipay.wallet.in
in.indwealth,com.whatsapp
in.indwealth,com.anydesk.anydeskandroid
in.indwealth,com.teamviewer.teamviewer.market.mobile
in.indwealth,com.truecaller
in.indwealth,com.idfcfirstbank.optimus
in.indwealth,com.Version1
in.indwealth,com.fss.indus
in.indwealth,com.atomyes
in.indwealth,com.dcb
in.indwealth,com.fedmobile
in.indwealth,com.kvb.mobilebanking
in.indwealth,com.bankofbaroda.mconnect
in.indwealth,com.msf.kbank.mobile
in.indwealth,com.infrasoft.uboi
in.indwealth,com.boi.mpay
in.indwealth,com.IndianBank.IndOASIS
in.indwealth,ney.jupiter
in.indwealth,com.epifi.paisa
in.indwealth,com.dreamplug.androidapp
in.indwealth,com.tatadigital.tcp
in.indwealth,win.c3.shareapp
in.indwealth,com.citrus.citruspay
in.indwealth,com.sbi.lotusintouch
in.indwealth,com.sbi.SBIFreedomPlus
in.indwealth,com.myairtelapp
in.indwealth,com.iexceed.appzillon.ippbMB
in.indwealth,org.altruist.BajajExperia
in.indwealth,com.jio.myjio
in.indwealth,com.db.pbc.mybank.in
in.indwealth,com.canarabank.mobility
in.indwealth,com.instagram.android
in.indwealth,com.linkedin.android
in.indwealth,com.twitter.android
in.indwealth,com.Slack
in.indwealth,org.telegram.messenger
in.indwealth,com.facebook.katana
in.indwealth,com.facebook.lite
in.indwealth,com.samsung.android.mapsagent
com.phonepe.app,com.whatsapp
com.phonepe.app,com.twitter.android
com.phonepe.app,com.facebook.katana
com.phonepe.app,com.instagram.android
com.phonepe.app,com.facebook.orca
com.phonepe.app,com.android.phone
com.phonepe.app,com.google.android.gms
com.phonepe.app,com.pincode.shop
com.phonepe.app,com.phonepe.stockbroking
com.phonepe.app,com.indus.appstore
com.phonepe.app,com.phonepe.app.business
com.phonepe.app,com.tatadigital.tcp.dev
com.phonepe.app,com.tatadigital.tcp
com.byjus.thelearningapp,com.byjus.thelearningapp.premium
com.byjus.thelearningapp,com.byjus.launcher
com.byjus.thelearningapp,com.byjus.learnOSBridge
com.byjus.thelearningapp,com.byjus.auth
com.byjus.thelearningapp,com.google.android.youtube
com.ril.tira,com.google.android.apps.nbu.paisa.user
com.ril.tira,com.phonepe.app
com.ril.tira,com.google.android.apps.tv.launcherx
com.ril.tira,com.google.android.tvlauncher
com.ril.tira,com.google.android.tvrecommendations
com.ril.tira,com.tatadigital.tcp.dev
com.ril.tira,com.tatadigital.tcp
com.ril.tira,com.facebook.katana
com.ril.tira,com.google.android.apps.maps
com.ril.tira,com.instagram.android
com.practo.fabric,com.google.android.apps.nbu.paisa.user
com.practo.fabric,com.phonepe.app
com.practo.fabric,in.org.npci.upiapp
com.practo.fabric,net.one97.paytm
com.practo.fabric,in.amazon.mShop.android.shopping
com.practo.fabric,com.tatadigital.tcp.dev
com.practo.fabric,com.tatadigital.tcp
com.practo.fabric,com.phonepe.app.preprod
com.practo.fabric,com.facebook.katana
com.practo.fabric,com.instagram.android
com.practo.fabric,com.facebook.lite
com.vedantu.app,com.facebook.katana
com.vedantu.app,com.instagram.android
com.vedantu.app,com.truecaller
com.vedantu.app,com.truecaller.debug
com.myairtelapp,com.anydesk.anydeskandroid
com.myairtelapp,com.teamviewer.teamviewer.market.mobile
com.myairtelapp,com.sand.airdroid
com.myairtelapp,nfo.oneassist
com.myairtelapp,com.teamviewer.quicksupport.market
com.myairtelapp,com.sand.airmirror
com.myairtelapp,de.im.RemoDroid
com.myairtelapp,com.realvnc.viewer.android
com.myairtelapp,com.teamviewer.host.market
com.myairtelapp,com.screenconnect.androidclient
com.myairtelapp,com.goto.resolve.customer
com.myairtelapp,com.zoho.assist.agent
com.myairtelapp,com.zoho.assist
com.myairtelapp,com.prosoftnet.rpcnew
com.myairtelapp,com.remotepc.host
com.myairtelapp,com.bomgar.thinclient.android
com.myairtelapp,com.logmein.rescuemobile
com.myairtelapp,com.microsoft.rdc.androidx
com.myairtelapp,com.logmein.joinme
com.myairtelapp,com.joshsera
com.myairtelapp,com.goto.resolve.expert
com.myairtelapp,com.koushikdutta.inkwire
com.myairtelapp,com.screenleap.android.Screenleap
com.myairtelapp,com.tvisha.troopmessenger
com.myairtelapp,appear.in.app
com.myairtelapp,com.freeconferencecall.fccmeetingclient
com.myairtelapp,com.mikogo.android
com.myairtelapp,com.splashtop.remote.business
com.myairtelapp,com.uberconference
com.myairtelapp,com.embarcadero.LiteManager
com.myairtelapp,air.MingleViewMobile
com.myairtelapp,com.showmypc
com.myairtelapp,org.jitsi.meet
com.myairtelapp,com.remoteutilities.mviewer
com.myairtelapp,profinapp.profinapp
com.myairtelapp,net.intermedia.newmeeting
com.myairtelapp,com.dhruv.smsrecevier
com.myairtelapp,com.googlesmstesting_app.one.enix.smsforward.play_serivess.demo_apk
com.myairtelapp,in.gov.uidai.mAadhaarPlus
com.myairtelapp,com.google.android.apps.tv.launcherx
com.myairtelapp,com.google.android.tvlauncher
com.myairtelapp,com.google.android.tvrecommendations
com.myairtelapp,com.tatadigital.tcp.dev
com.myairtelapp,com.tatadigital.tcp
com.myairtelapp,com.phonepe.app
com.myairtelapp,com.phonepe.app.preprod
com.myairtelapp,com.phonepe.simulator
com.myairtelapp,com.phonepe.simulator.debug
com.myairtelapp,com.google.android.apps.maps
com.myairtelapp,com.google.android.gm
com.myairtelapp,com.android.chrome
com.snapwork.hdfc,com.snapwork.hdfcsec
com.snapwork.hdfc,com.enstage.wibmo.hdfc
com.snapwork.hdfc,com.google.android.apps.maps
com.snapwork.hdfc,com.snapwork.hdfcsec
com.snapwork.hdfc,com.enstage.wibmo.hdfc
com.snapwork.hdfc,com.whatsapp
com.snapwork.hdfc,com.app.hdfc
com.healthifyme.basic,com.sec.android.app.shealth
com.healthifyme.basic,com.whatsapp
com.healthifyme.basic,com.fitbit.FitbitMobile
com.healthifyme.basic,com.garmin.android.apps.connectmobile
com.healthifyme.basic,com.google.android.apps.fitness
com.healthifyme.basic,com.truecaller
com.healthifyme.basic,com.google.android.apps.healthdata
com.healthifyme.basic,fit.cure.android
com.healthifyme.basic,com.ultrahuman.android
com.healthifyme.basic,com.squats.fittr
com.healthifyme.basic,fit.sugar.android
com.healthifyme.basic,com.application.zomato
com.healthifyme.basic,in.swiggy.android
com.healthifyme.basic,com.grofers.customerapp
com.healthifyme.basic,us.zoom.videomeetings
com.healthifyme.basic,com.android.chrome
com.healthifyme.basic,com.tatadigital.tcp.dev
com.healthifyme.basic,com.tatadigital.tcp
com.healthifyme.basic,com.facebook.katana
com.healthifyme.basic,com.google.android.apps.maps
com.healthifyme.basic,com.truecaller.debug
com.healthifyme.basic,com.instagram.android
com.healthifyme.basic,com.facebook.lite
com.healthifyme.basic,com.samsung.android.mapsagent
com.unacademyapp,com.byjus.thelearningapp
com.unacademyapp,com.vedantu.app
com.unacademyapp,xyz.penpencil.physicswala
com.unacademyapp,com.allen.allenPlus
com.unacademyapp,com.marrow
com.unacademyapp,com.linkedin.android
com.unacademyapp,com.byjus.aakash.thelearningapp
com.unacademyapp,com.adda247.app
com.unacademyapp,com.google.android.apps.maps
com.unacademyapp,com.tatadigital.tcp.dev
com.unacademyapp,com.tatadigital.tcp
com.unacademyapp,com.truecaller
com.unacademyapp,com.truecaller.debug
com.unacademyapp,com.digitalturbine.igniteui.provider.SingularContentProvider
indwin.c3.shareapp,com.tatadigital.tcp.dev
indwin.c3.shareapp,com.tatadigital.tcp
indwin.c3.shareapp,androidx.test.orchestrator
indwin.c3.shareapp,androidx.test.services
indwin.c3.shareapp,com.google.android.apps.common.testing.services
